"Fund","Category","Total Net Assets(MRQ)","Share Classes/Tickers","Subcategory","","","","","",""
"Stone Ridge Trust II(Stone Ridge Reinsurance Risk Premium Interval Fund)","Derivatives/ Insurance linked securities","$5,263,461,373","SRRIX","","","","","","",""
"Stone Ridge Trust V","Credit","$3,745,594,277","LENDX","Marketplace Lending","","","","","",""
"ACAP Strategic Fund","Other","$2,955,889,814","XCAPX","Equity","","","","","",""
"Griffin Institutional Access RE Fund","Real Estate","$2,778,950,245","GIREX,GCREX,GRIFX","","","","","","",""
"Versus Cap Multi-Manager RE…LLC","Real Estate","$2,618,586,261","VCMRX,VCMIX,","","","","","","",""
"Bluerock Total Income (plus) RE Fund","Real Estate","$1,315,455,665","TIPRX, TIPWX, TIPPX, TIPLX","","","","","","",""
"Stone Ridge Trust III","Derivatives/ Insurance linked securities","$1,231,921,707","AVRPX","Derivatives","","","","","",""
"Versus Capital Real Assets Fund LLC","Other","$1,208,373,686","VCRRX","Infrastructure/Timber/Agriculture","","","","","",""
"Pioneer ILS Interval Fund","Derivatives/ Insurance linked securities","$904,566,923","XILSX","","","","","","",""
"PIMCO Flexible Credit Income Fund","Credit","$721,848,000","PFLEX","","","","","","",""
"Invesco Senior Loan Fund","Credit","$670,248,678","VSLAX,VSLBX,VSLCX,VSLYX,XPRTX,XSLCX","","","","","","",""
"Voya SENIOR INCOME FUND","Credit","$349,938,488","XSIAX,XSIBX,XSICX,XSIIX,XSIWX","","","","","","",""
"Blackstone GSO Floating Rate Enhanced Income Fund","Credit","$337,718,799","BGFLX, BGFTX,BGFDX","","","","","","",""
"Resource RE Diversified Income Fd","Real Estate","$274,570,416","RREDX, CRREX, DRREX,IRREX,RRETX,URREX,WRREX","","","","","","",""
"RiverNorth Marketplace Lending Corp","Credit","$233,778,335","RMPLX","Marketplace Lending","","","","","",""
"Griffin Institutional Access Credit Fund","Credit","$196,233,973","CRDTX, CGCCX,CRDIX,CRDFX,CRDLX","","","","","","",""
"Resource Credit Income Fund","Credit","$191,475,770","RCIAX,RCIUX,RCICX,RIFTX,RCIWX,RCIDX","","","","","","",""
"Weiss Strategic Interval Fund","Other","$185,373,558","NA-Private","Long/Short Equity","","","","","",""
"Cion Ares Diversified Credit Fund","Credit","$181,422,211","CADEX, CADCX, CADUX","","","","","","",""
"Destra Multi-Alternative Fund","Other","$162,593,511","MSFDX,MSFYX,MCFDX,MSFIX","Endowment","","","","","",""
"SharesPost 100 Fund","Other","$143,847,770","PRIVX,PIIVX,PRLVX","Venture Capital","","","","","",""
"Predex","Real Estate","$143,504,912","PRDEX","","","","","","",""
"Palmer Square Opportunistic I..Fd","Credit","$141,101,674","PSOIX","","","","","","",""
"BMO LGM Frontier Markets Equi..Fd","Other","$135,622,597","BLGFX","Equity","","","","","",""
"Vertical Capital Income Fund","Real Estate","$132,266,258","VCAPX","Real Estate Debt","","","","","",""
"Wildermuth Endowment Strategy Fd","Diversified","$117,114,737","WESFX,WEFCX,WEIFX","Endowment","","","","","",""
"Tortoise Tax-Advantaged Social Infrastructure Fund","Credit","$109,997,324","TSIFX","","","","","","",""
"FS Credit Income Fund","Credit","$108,292,000","FCRIX,FCREX, FCRLX,FCRMX, FCRTX","","","","","","",""
"OFI Carlyle Private Credit Fund","Credit","$85,948,285","OCPAX","","","","","","",""
"BlackRock Enhanced Gov’t Fd, Inc.","Credit","$70,901,454","EGF","","","","","","",""
"City National Rochdale Select Strategies Fund","Derivatives/ Insurance linked securities","$64,424,000","CNRLX","","","","","","",""
"Destra International & Event Driven Credit Fund","Credit","$49,405,720","CEDIX,CEDAX, CEDTX, CEDLX","","","","","","",""
"RiverPark Floating Rate CMBS Fund","Credit","$48,130,291","RCRIX","","","","","","",""
"504 Fund","Real Estate","$46,210,639","XPNNX","Real Estate Debt","","","","","",""
"Zazove Convertible Securities Fund","Other","$39,773,471","NA-Private","Convertible Securities","","","","","",""
"FS Energy Total Return Fund","Other","$34,877,000","XFEYX, XFEAX","Diversified Credit & Equity, energy sector focus","","","","","",""
"FS Multi-Alternative Income Fund","Other","$31,375,000","","Income : Real Estate+ Credit","","","","","",""
"Broadstone Real Estate Access Fund","Real Estate","$29,185,218","BDREX, BDRWX","","","","","","",""
"USQ Core Real Estate Income Fund","Real Estate","$28,257,361","USQIX","","","","","","",""
"Variant Alternative Income Fund","Credit","$25,644,657","NICHX, UNIQX","","","","","","",""
"Alternative Strategies Fund","Diversified","$20,459,663","LTAFX,LTCFX,LTIFX","","","","","","",""
"Church Capital Fund","Real Estate","$17,968,719","XCBFX","Real Estate Debt","","","","","",""
"Flat Rock Opportunity Fund","Credit","$16,261,772","FROPX","","","","","","","16,261,772"
"Winton Diversified Opportunit..Fd","Other","$14,999,192","WDOFUND","Currently Liquidating","","","","","",""
"Nexpoint Real Estate Strategies Fund","Real Estate","$14,056,821","NRSAX,NRSCX,NRSZX","","","","","","",""
"Ellington Income Opportunities Fund","Other","$11,202,660","NA-Private","","","","","","",""
"Relative Value Fund","Other","$11,180,517","VFLEX","Hedge Funds","","","","","",""
"American Beacon Sound Point Enhanced Income Fund","Credit","$9,032,838","SPEYX","","","","","","",""
"Thrivent Church Loan Income Fund","Real Estate","$8,059,624","XCLIX","Church Loans","","","","","",""
"Forefront Income Trust","Credit","$7,305,202","BFITX","","","","","","",""
"Angel Oak Strategic Credit Fund","Credit","$6,982,409","ANGLX","","","","","","",""
"Pathway Capital Opportunity Fund","Credit","$6,314,616","","","","","","","",""
"American Beacon Apollo Total Return Fund","Credit","$5,035,729","ATRYX","","","","","","",""
"Sierra Total Return Fund","Credit","$2,143,242","SRNTX","","","","","","",""
"Axonic Alternative Income Fund","Credit","$1,450,878","AAIDX","","","","","","",""
"NexPoint Healthcare Opportunities Fund","Other","$112,294","NXHAX,NXHCX,NXHZX","Diversified Credit & Equity, healthcare sector focus","","","","","",""
"Pioneer ILS Bridge Fund","Derivatives/ Insurance linked securities","$100,000","","","","","","","",""
"City National Rochdale Strategic Credit Fund","Credit","$0","CNROX","","","","","","",""
"PIMCO Flexible Municipal Income Fund","Credit","$0","PMFLX, PMFAX, PMALX","","","","","","",""
"Stone Ridge Trust IV","Derivatives/ Insurance linked securities","$0","SRPEX","","","","","","",""
"1WS Credit Income Fund","Credit","0","","","","","","","",""
"NexPoint Latin American Opportunities Fund","Other","","NXLAX,NXLCX,NXLLX,NXLZX","Credit & Equity in Laitin America","","","","","",""
"BlackRock Credit Strategies Fund","Credit","","","","","","","","",""
"Lord Abbett Credit Opportunities Fund","Credit","","","","","","","","",""